,index,year,exporter,importer,product,value,quantity
0,1102,2022,AFG,DNK,850720,7.755,2.612
1,1752,2022,AFG,GTM,850710,0.046,0.019
2,2256,2022,AFG,KAZ,850720,0.101,0.067
3,2944,2022,AFG,PAK,260700,8.47,27.0
4,3006,2022,AFG,PAK,780110,1505.886,773.403
5,4642,2022,AFG,ARE,780191,101.34,149.43
6,4743,2022,AFG,TUR,260700,0.081,0.184
7,4785,2022,AFG,TUR,780199,637.861,326.395
8,5593,2022,ALB,AUT,780110,47.103,22.64
9,5594,2022,ALB,AUT,780199,1602.81,795.9
10,10371,2022,ALB,GRC,780110,2412.91,1182.7
11,10372,2022,ALB,GRC,780191,1223.696,391.37
12,10459,2022,ALB,GRC,850710,0.454,0.2
13,12185,2022,ALB,ITA,780110,211.236,97.55
14,12186,2022,ALB,ITA,780191,312.34,146.03
15,12187,2022,ALB,ITA,780199,481.019,218.17
16,12188,2022,ALB,ITA,780600,49.576,18.717
17,14246,2022,ALB,MNE,850720,0.079,0.005
18,14471,2022,ALB,NLD,260700,0.052,0.003
19,15517,2022,ALB,POL,780110,207.381,96.23
20,16677,2022,ALB,SRB,780110,231.181,98.21
21,18827,2022,ALB,CHE,850720,0.76,0.115
22,19054,2022,ALB,THA,780199,179.129,40.99
23,19693,2022,ALB,TUR,780191,159.514,72.82
24,20124,2022,ALB,MKD,854911,771.841,815.287
25,20995,2022,DZA,AUT,780110,37.01,24.271
26,21278,2022,DZA,BGR,780600,3812.131,2009.5
27,22327,2022,DZA,FRA,282410,0.032,0.004
28,22731,2022,DZA,FRA,780200,0.077,0.003
29,22732,2022,DZA,FRA,780600,11.366,0.099
30,24570,2022,DZA,NER,850710,0.354,0.75
31,25154,2022,DZA,IND,780199,3956.098,1782.553
32,25328,2022,DZA,SVN,780199,44.091,26.251
33,26450,2022,DZA,TUR,780191,1938.18,1085.866
34,26451,2022,DZA,TUR,780199,787.798,410.835
35,26672,2022,DZA,GBR,780419,5603.558,2819.225
36,28897,2022,AND,CUB,850710,56.435,11.762
37,30408,2022,AND,ISL,850720,0.098,0.002
38,31977,2022,AND,POL,850710,0.105,0.024
39,32300,2022,AND,SEN,850710,0.507,0.187
40,33265,2022,AND,ESP,780200,168.159,193.44
41,33469,2022,AND,ESP,850710,43.606,51.932
42,33470,2022,AND,ESP,850720,0.246,0.033
43,33604,2022,AND,ESP,854911,38.447,47.92
44,34992,2022,AGO,CHN,260700,264.238,794.179
45,35318,2022,AGO,DEU,780110,41.455,24.635
46,35466,2022,AGO,ITA,780199,692.87,393.485
47,35537,2022,AGO,KAZ,850720,0.074,0.004
48,35599,2022,AGO,KOR,780191,278.293,153.035
49,35600,2022,AGO,KOR,780199,90.324,48.586
50,37144,2022,AGO,IND,780199,2725.539,1338.05
51,37428,2022,AGO,ZAF,850720,0.076,0.018
52,37686,2022,AGO,THA,780199,581.735,330.604
53,37808,2022,AGO,GBR,850710,1.646,0.002
54,38200,2022,ATG,COL,850710,0.567,0.072
55,38849,2022,ATG,IND,780200,68.986,71.04
56,38852,2022,ATG,IND,854911,63.733,69.0
57,39197,2022,ATG,USA,850710,30.002,19.41
58,39638,2022,AZE,BEL,850710,0.65,0.035
59,41372,2022,AZE,GEO,780199,583.92,288.0
60,42087,2022,AZE,HUN,780600,32.66,2.484
61,43117,2022,AZE,KAZ,850720,4.42,0.4
62,43977,2022,AZE,OMN,850720,3.477,0.911
63,44213,2022,AZE,NLD,780600,3.409,0.069
64,44618,2022,AZE,PAK,780110,636.947,306.662
65,45756,2022,AZE,RUS,850710,4.516,0.29
66,46181,2022,AZE,SGP,850720,1.766,0.484
67,46687,2022,AZE,THA,850720,65.252,0.06
68,46866,2022,AZE,ARE,780110,265.023,149.69
69,46867,2022,AZE,ARE,780199,166.96,80.63
70,47541,2022,AZE,TUR,780110,4028.211,1799.599
71,47542,2022,AZE,TUR,780191,1799.69,1004.679
72,47543,2022,AZE,TUR,780199,5882.102,2628.727
73,48113,2022,AZE,UKR,780199,584.405,263.94
74,48383,2022,AZE,GBR,780199,0.136,0.001
75,48856,2022,AZE,USA,780600,5.955,0.014
76,49169,2022,AZE,UZB,850710,0.661,0.246
77,50289,2022,ARG,BEL,260700,42607.641,10127.7
78,50820,2022,ARG,BOL,282410,33.723,12.587
79,51630,2022,ARG,BOL,780600,0.988,0.186
80,51929,2022,ARG,BOL,850710,28.481,9.756
81,51930,2022,ARG,BOL,850720,42.889,11.515
82,53282,2022,ARG,BRA,780110,1738.358,817.493
83,53283,2022,ARG,BRA,780199,265.583,84.028
84,53519,2022,ARG,BRA,850720,0.099,0.021
85,54499,2022,ARG,CAN,850710,21.87,8.037
86,56523,2022,ARG,CHL,850710,6.493,2.178
87,56524,2022,ARG,CHL,850720,18.007,4.735
88,57276,2022,ARG,CHN,780199,173.04,133.109
89,60944,2022,ARG,FIN,850710,61.175,21.472
90,61937,2022,ARG,FRA,850710,0.07,0.026
91,62756,2022,ARG,DEU,780600,2.014,0.217
92,63964,2022,ARG,HUN,780600,2.513,0.582
93,65183,2022,ARG,ITA,381111,2.664,0.434
94,65738,2022,ARG,JPN,850710,2.105,0.076
95,66401,2022,ARG,KOR,780411,0.122,0.001
96,68296,2022,ARG,NLD,260700,7513.5,1800.0
97,68606,2022,ARG,NLD,780600,7.096,0.137
98,68708,2022,ARG,NLD,850720,0.113,0.051
99,69067,2022,ARG,NZL,850720,13.493,3.869
100,71672,2022,ARG,PRY,780600,5.341,0.847
101,71995,2022,ARG,PRY,850720,18.516,2.36
102,74725,2022,ARG,IND,260700,153.519,236.274
103,74875,2022,ARG,IND,780191,0.003,0.001
104,75293,2022,ARG,SGP,850710,0.237,0.089
105,78509,2022,ARG,CHE,850710,6.743,0.769
106,81356,2022,ARG,USA,780191,613.875,274.153
107,81548,2022,ARG,USA,850710,6.718,0.009
108,81549,2022,ARG,USA,850720,50.32,0.141
109,83363,2022,ARG,URY,780110,2.183,1.0
110,83364,2022,ARG,URY,780419,47.863,14.712
111,83717,2022,ARG,URY,850710,132.574,44.382
